AB2976,AB2976 – Fort Erie,2025-06-21,Fort Erie,CAD,1313238193789,,,,,,,NO_DATA
AB2895,AB2895 – Omaha,2025-06-21,Omaha,USD,1358765106009,,,,,,,NO_DATA
AB2997,AB2997 – Minnesota,2025-06-21,Minneapolis,USD,1307472137359,,,,,,,NO_DATA
AB2992,AB2992 – Grande Prairie,2025-06-21,Grand Prairie,USD,1313238193789,,,,,,,NO_DATA
AB2988,AB2988 – Sydney,2025-06-20,Sydney,AUD,1309226474629,,,,,,,NO_DATA
AB2961,AB2961 – Montreal,2025-06-20,Montreal,CAD,1309226474629,,,,,,,NO_DATA
AB3021,AB3021 – Toronto UNHCR,2025-06-19,Toronto,CAD,1392148787499,,,,,,,NO_DATA
AB3012,AB3012 – Wichita Falls,2025-06-14,Wichita Falls,USD,1350054151309,,,,,,,NO_DATA
AB3017,AB3017 – Tacoma,2025-06-14,Tacoma,USD,1350054151309,,,,,,,NO_DATA
AB3007,AB3007 – Halifax (Nova Scotia Finals),2025-06-07,Halifax,CAD,1335910306689,,,,,,,NO_DATA
AB2956,AB2956 – Pawtuckett,2025-06-07,Pawtucket,USD,1335589808069,,,,,,,NO_DATA
AB3004,AB3004 – Reno,2025-06-07,Reno,USD,1335910306689,,,,,,,NO_DATA
AB2980,AB2980 – Bangkok,2025-05-31,Bangkok,THB,1318056244709,,,,,,,NO_DATA
AB2996,"AB2996 – London, ON",2025-05-30,Ontario,USD,1260123666809,,,,,,,NO_DATA
AB2962,AB2962 – Auckland,2025-05-30,Auckland,NZD,1260123666809,,,,,,,NO_DATA
AB3009,AB3009 – Seattle,2025-05-25,Seattle,USD,1355222419739,,,,,,,NO_DATA
AB3011,AB3011 – Saint John ,2025-05-23,Saint John,CAD,1334433690089,,,,,,,NO_DATA
AB3003,AB3003 – Philadelphia,2025-05-23,Philadelphia,USD,1313217080639,,,,,,,NO_DATA
AB2982,AB2982 – Pittsburgh,2025-05-23,Pittsburg,USD,1334433690089,,,,,,,NO_DATA
AB2953,AB2953 – San Francisco,2025-05-22,San Francisco,USD,1303466576619,,,,,,,NO_DATA
AB2921,AB2921 – Minnesota,2025-05-17,Minneapolis,USD,1303344651939,,,,,,,NO_DATA
AB2945,AB2945 – Bristol,2025-05-17,Bristol,GBP,1236635743799,,,,,,,NO_DATA
AB2967,AB2967 – Boston,2025-05-17,Boston,USD,1236635743799,,,,,,,NO_DATA
AB2958,AB2958 – Montreal,2025-05-16,Montreal,CAD,1291853190669,,,,,,,NO_DATA
AB2989,AB2989 – Ottawa,2025-05-16,Ottawa,CAD,1291853190669,,,,,,,NO_DATA
AB2974,AB2974 – Wilmington,2025-05-10,Wilmington,USD,1296086833609,,,,,,,NO_DATA
AB2983,AB2983 – Sydney,2025-05-10,Sydney,AUD,1296086833609,,,,,,,NO_DATA
AB2950,AB2950 – Pawtucket,2025-05-02,Pawtucket,USD,1264520277189,,,,,,,NO_DATA
AB2984,AB2984 – Devonport,2025-05-01,Devonport,AUD,1296067576009,,,,,,,NO_DATA
AB2975,AB2975 – Bangkok,2025-04-26,Bangkok,THB,1291274539909,,,,,,,NO_DATA
AB2968,AB2968 – Philadelphia,2025-04-25,Philadelphia,USD,1253920222139,,,,,,,NO_DATA
AB2923,AB2923 – Toronto,2025-04-23,Toronto,CAD,1264242386009,,,,,,,NO_DATA
AB2915,AB2915 – Minnesota,2025-04-19,Minneapolis,USD,1258878321949,,,,,,,NO_DATA
AB2946,AB2946 – Bournemouth,2025-04-19,Bournemouth,GBP,1258907338739,,,,,,,NO_DATA
AB2963,AB2963 – Reno,2025-04-19,Reno,USD,1297476690709,,,,,,,NO_DATA
AB2954,AB2954 – Montreal,2025-04-18,Montreal,CAD,1290390094509,,,,,,,NO_DATA
AB2892,AB2892 – Omaha,2025-04-12,Omaha,USD,1256775893529,,,,,,,NO_DATA
AB2978,AB2978 – Ottawa,2025-04-12,Ottawa,CAD,1256775893529,,,,,,,NO_DATA
AB2973,AB2973 – Sydney,2025-04-11,Sydney,AUD,1284634960749,,,,,,,NO_DATA
